"COL_PROJECT_ID","COL_COVER_PAR","COL_COVER_POL","COL_PRIORITY","COL_SUBJ_OWNER","COL_NAME","COL_PLACE_CODE","COL_SUBJ_CODE","COL_YEAR_START","COL_YEAR_END","COL_COST_IN_EXP_ALL","COL_COST_ALL","COL_COST_FILL_TO_BEF_2","COL_COST_FILL_TO_BEF_1","COL_COST_NEED_0","COL_COST_NO_PUMP_BEF_1","COL_COST_GR_A_0","COL_COST_ALT_SRC_REQ","COL_COST_GR_F_0","COL_COST_GR_B_0","COL_COST_GR_C_0","COL_COST_GR_A_1","COL_COST_GR_C_1","COL_COST_GR_SUM_1","COL_COST_GR_A_2","COL_COST_GR_C_2","COL_COST_GR_SUM_2","COL_COST_GR_A_3","COL_COST_GR_C_3","COL_COST_GR_SUM_3","COL_COST_AFT",
"0307/23","6330","6363",3,"MOb Moravská Ostrava a Pøívoz","Rekonstrukce BD U Tiskárny 6","Moravská Ostrava a Pøívoz","MOb Moravská Ostrava a Pøívoz",2023,2025,0,18800000,0,300000,0,0,0,0,0,0,0,0,18500000,18500000,0,0,0,0,0,0,0,
"0297/19","3522","6121",1,"odbor investièní (ORJ 230)","MNO - venkovní osvìtlení - rekonstrukce","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2019,2024,0,18325992,397240,14499752,3429000,3429000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0288/20","6330","6363",2,"MOb Ostrava-Jih","Rekonstrukce høištì u ZŠ Srbská","Ostrava - Jih","MOb Ostrava-Jih",2021,2026,0,17196867,196867,0,0,0,0,0,0,0,0,5000000,5100000,10100000,1800000,5100000,6900000,0,0,0,0,
"0275/23","3412","6313",1,"VÍTKOVICE ARÉNA, a.s.","Zobrazovací zaøízení OSTRAVAR ARÉNA","Ostrava - Jih","VÍTKOVICE ARÉNA, a.s.",2024,2024,0,23000000,0,0,0,0,0,0,0,0,0,13000000,10000000,23000000,0,0,0,0,0,0,0,
"0190/19","2321","6121",1,"odbor investièní (ORJ 230)","Kanalizace Nová Bìlá II. etapa","Nová Bìlá","Magistrát mìsta Ostravy",2010,2030,206500000,152303515,49141316,41503999,892000,480000,72000,0,340000,0,0,0,0,0,2629200,27645000,30274200,2667000,27825000,30492000,0,
"0281/22","2310","6121",1,"odbor investièní (ORJ 230)","Sanaèní studna è. 11 v prameništi Nová Ves","Nová Ves","Magistrát mìsta Ostravy",2022,2025,0,16637500,0,0,726000,726000,0,0,0,0,0,2761500,13150000,15911500,0,0,0,0,0,0,0,
"","6330","6363",1,"odbor financí a rozpoètu (ORJ 120)","MOb Michálkovice - Investièní neúèelová dotace","Michálkovice","MOb Michálkovice",2024,2024,0,8010000,0,0,8010000,2686000,5324000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0293/23","6330","6363",1,"MOb Michálkovice","Vıkupy strategickıch nemovitostí v Mob Michálkovice","Michálkovice","MOb Michálkovice",2025,2025,0,15000000,0,0,0,0,0,0,0,0,0,10000000,5000000,15000000,0,0,0,0,0,0,0,
"0122/23","4350","6351",1,"Domov pro seniory Kamenec, Slezská Ostrava","Konvektomat","Slezská Ostrava,statutární mìsto Ostrava","Magistrát mìsta Ostravy",2025,2025,0,650000,0,0,0,0,0,0,0,0,0,650000,0,650000,0,0,0,0,0,0,0,
"0508/19","3412","6313",4,"Sportovní a rekreaèní zaøízení mìsta Ostravy, s.r.o.","Doplnìní dìtského areálu Letního koupalištì","Poruba","Sportovní a rekreaèní zaøízení mìsta Ostravy, s.r.o.",2027,2027,0,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000,0,40000000,0,
"0309/23","6330","6363",2,"MOb Hrabová","Plocha s mokøady","Hrabová","MOb Hrabová",2023,2025,0,9216823,0,189123,0,0,0,0,0,0,0,0,0,0,0,0,0,8125000,902700,9027700,0,
"0165/21","6330","6363",3,"MOb Hrabová","Chodník a cyklostezka podél ul. U Øeky","Hrabová","MOb Hrabová",2021,2025,0,3825000,90000,0,0,0,0,0,0,0,0,2970000,765000,3735000,0,0,0,0,0,0,0,
